231 AhKO,,,,,,,,,,,,,,Vehicle,,
,,Compound 523,,Percent viability,,,,Compound 536,,Percent viability,,,,,3748,
,,10,4270,114.3048352,,,,10,4484,120.0334616,,,,,3687,
,,1,4414,118.1596118,,,,1,4191,112.1900619,,,,,4048,
,,0.1,4055,108.5494395,,,,0.1,4262,114.0906809,,,,,3705,
,,1,3827,102.4460432,,,,1,4053,108.495901,,,,,3663,
,,,,,,,,,,,,,,,3474,
,,Compound 528,,,,,,Compound 527,,,,,,,3963,
,,10,3907,104.5875857,,,,10,3827,102.4460432,,,,,3597,
,,1,3763,100.7328091,,,,1,3969,106.2472812,,,,,Average,3735.625
,,0.1,3793,101.5358876,,,,0.1,4050,108.4155931,,,,,% Viability,100
,,1,3750,100.3848084,,,,1,3834,102.6334281,,,,,,
,,,,,,,,,,,,,,,,
,,Compound 699,,,,,,Compound 640,,,,,,,,
,,10,3898,104.3466622,,,,10,3643,97.52049523,,,,,,
,,1,4465,119.5248452,,,,1,4132,110.6106743,,,,,,
,,0.1,4283,114.6528359,,,,0.1,4008,107.2912833,,,,,,
,,1,4065,108.8171323,,,,1,4060,108.6832859,,,,,,
,,,,,,,,,,,,,,,,
,,Compound 691,,,,,,,,,,,,,,
,,10,1191,31.88221516,,,,,,,,,,,,
,,1,3688,98.72511293,,,,APID1,,,11BBQ,,,,,
,,0.1,4125,110.4232893,,,,4181,,,3955,,,,,
,,1,3889,104.1057387,,,,4234,,,3792,,,,,
,,,,,,,,Average,4207.5,Average,3873.5,,,,,
,,,,,,,,,112.6317551,,103.6908148,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,G2,119,1191,-/-,,,,,,,,,,,,
,G3,374,3688,-/-,,,,,,,,,,,,
,G4,414,4125,-/-,,,,,,,,,,,,
,G5,380,3889,-/-,,,,,,,,,,,,
,G6,409,4181,-/-,,,,,,,,,,,,
,G7,423,4234,-/-,,,,,,,,,,,,
,G8,395,3955,-/-,,,,,,,,,,,,
,G9,381,3792,-/-,,,,,,,,,,,,
